ID,trial_type,stimulus,trial_resp.,trial_rt
9,go,green_circle,press,0.383391
9,go,green_circle,press,0.45397
9,go,green_circle,press,0.377495
9,go,green_circle,press,0.358868
9,go,green_circle,press,0.374915
9,nogo,red_circle,none,
9,go,green_circle,press,0.345175
9,go,green_circle,press,0.555187
9,nogo,red_circle,none,
9,go,green_circle,press,0.410283
9,go,green_circle,press,0.495607
9,go,green_circle,press,0.463781
9,go,green_circle,press,0.524798
9,go,green_circle,press,0.474695
9,go,green_circle,press,0.457018
9,go,green_circle,press,0.457458
9,go,green_circle,press,0.480195
9,go,green_circle,press,0.51436
9,go,green_circle,press,0.640894
9,go,green_circle,press,0.667933
9,go,green_circle,press,0.43394
9,go,green_circle,press,0.498726
9,go,green_circle,press,0.481944
9,go,green_circle,press,0.38874
9,go,green_circle,press,0.462506
9,go,green_circle,press,0.404236
9,go,green_circle,press,0.506555
9,nogo,red_circle,none,
9,go,green_circle,press,0.394286
9,go,green_circle,press,0.42386
9,go,green_circle,press,0.465814
9,go,green_circle,press,0.369802
9,go,green_circle,press,0.453152
9,go,green_circle,press,0.358636
9,go,green_circle,press,0.434715
9,go,green_circle,none,
9,go,green_circle,press,0.535733
9,go,green_circle,press,0.4732
9,nogo,red_circle,none,
9,nogo,red_circle,none,
9,go,green_circle,none,
9,go,green_circle,press,0.498313
9,go,green_circle,press,0.506997
9,go,green_circle,press,0.499158
9,go,green_circle,press,0.514778
9,nogo,red_circle,none,
9,nogo,red_circle,none,
9,go,green_circle,press,0.467012
9,go,green_circle,press,0.347314
9,nogo,red_circle,press,0.689824
9,go,green_circle,press,0.427736
9,go,green_circle,press,0.477947
9,go,green_circle,press,0.563427
9,nogo,red_circle,none,
9,go,green_circle,press,0.42173
9,go,green_circle,press,0.729174
9,go,green_circle,press,0.548031
9,go,green_circle,press,0.351506
9,go,green_circle,press,0.562571
9,go,green_circle,press,0.500795
9,go,green_circle,press,0.395292
9,go,green_circle,press,0.424984
9,go,green_circle,press,0.572066
9,go,green_circle,press,0.373003
9,nogo,red_circle,none,
9,go,green_circle,press,0.461574
9,go,green_circle,press,0.538082
9,go,green_circle,press,0.449787
9,go,green_circle,press,0.49068
9,go,green_circle,press,0.375352
9,go,green_circle,press,0.521905
9,nogo,red_circle,none,
9,nogo,red_circle,none,
9,go,green_circle,press,0.468636
9,go,green_circle,none,
9,nogo,red_circle,none,
9,go,green_circle,press,0.306687
9,go,green_circle,press,0.770514
9,go,green_circle,press,0.392313
9,go,green_circle,press,0.601769
9,nogo,red_circle,press,0.391085
9,go,green_circle,press,0.723522
9,nogo,red_circle,press,0.454455
9,nogo,red_circle,none,
9,go,green_circle,press,0.520982
9,nogo,red_circle,none,
9,go,green_circle,press,0.599313
9,go,green_circle,press,0.487888
9,go,green_circle,none,
9,nogo,red_circle,none,
9,go,green_circle,press,0.463463
9,go,green_circle,press,0.384525
9,go,green_circle,press,0.526659
9,go,green_circle,press,1.024386
9,go,green_circle,press,0.439643
9,go,green_circle,press,0.41878
9,go,green_circle,press,0.407809
9,go,green_circle,press,0.487088
9,go,green_circle,press,0.50185
9,nogo,red_circle,none,
