ID,direction,position,trial_resp.,trial_rt
3,right,"[0.25, 0]",right,0.437846
3,right,"[-0.25, 0]",left,0.424854
3,left,"[-0.25, 0]",left,0.488215
3,right,"[-0.25, 0]",right,0.441751
3,right,"[0.25, 0]",right,0.481791
3,right,"[0.25, 0]",right,0.331334
3,right,"[0.25, 0]",right,0.421145
3,left,"[0.25, 0]",right,0.427048
3,left,"[0.25, 0]",left,0.510305
3,left,"[-0.25, 0]",left,0.382265
3,right,"[0.25, 0]",right,0.304702
3,left,"[-0.25, 0]",left,0.382909
3,right,"[-0.25, 0]",right,0.566203
3,right,"[0.25, 0]",left,0.535027
3,left,"[0.25, 0]",left,0.471133
3,right,"[0.25, 0]",right,0.448522
3,right,"[0.25, 0]",right,0.476678
3,left,"[-0.25, 0]",left,0.370511
3,right,"[-0.25, 0]",right,0.410958
3,left,"[0.25, 0]",right,0.375258
3,right,"[-0.25, 0]",right,0.545595
3,left,"[-0.25, 0]",left,0.358504
3,left,"[-0.25, 0]",left,0.409064
3,left,"[-0.25, 0]",left,0.3942
3,right,"[0.25, 0]",right,0.274704
3,right,"[0.25, 0]",right,0.434692
3,left,"[-0.25, 0]",left,0.405974
3,right,"[-0.25, 0]",right,0.272519
3,left,"[0.25, 0]",left,0.384807
3,right,"[-0.25, 0]",right,0.466805
3,left,"[0.25, 0]",left,0.43327
3,left,"[-0.25, 0]",left,0.398672
3,left,"[-0.25, 0]",left,0.433717
3,left,"[0.25, 0]",left,0.416366
3,right,"[0.25, 0]",right,0.401512
3,left,"[-0.25, 0]",left,0.305987
3,right,"[-0.25, 0]",right,0.562746
3,right,"[0.25, 0]",right,0.326442
3,left,"[0.25, 0]",right,0.597137
3,left,"[0.25, 0]",left,0.392982
3,left,"[-0.25, 0]",left,0.318315
3,left,"[0.25, 0]",left,0.473928
3,left,"[0.25, 0]",left,0.439898
3,left,"[0.25, 0]",left,0.459623
3,right,"[0.25, 0]",right,0.347091
3,right,"[0.25, 0]",right,0.304973
3,right,"[0.25, 0]",right,0.402557
3,right,"[0.25, 0]",right,0.395998
3,right,"[-0.25, 0]",right,0.524978
3,left,"[0.25, 0]",left,0.623778
3,right,"[-0.25, 0]",right,0.48172
3,right,"[-0.25, 0]",right,0.672042
3,right,"[0.25, 0]",right,0.531853
3,right,"[-0.25, 0]",left,0.404299
3,left,"[-0.25, 0]",left,0.304965
3,right,"[0.25, 0]",left,0.403706
3,right,"[-0.25, 0]",right,0.416877
3,right,"[0.25, 0]",left,0.37002
3,right,"[-0.25, 0]",right,0.472683
3,right,"[-0.25, 0]",left,0.583389
3,left,"[0.25, 0]",left,0.5463
3,right,"[-0.25, 0]",right,0.611651
3,right,"[0.25, 0]",right,0.407119
3,right,"[0.25, 0]",right,0.375152
3,left,"[0.25, 0]",right,0.453094
3,right,"[0.25, 0]",right,0.361323
3,left,"[0.25, 0]",left,0.430961
3,left,"[0.25, 0]",left,0.436893
3,left,"[0.25, 0]",left,0.433277
3,left,"[0.25, 0]",left,0.393844
3,left,"[-0.25, 0]",right,0.433898
3,right,"[-0.25, 0]",right,0.399014
3,right,"[0.25, 0]",right,0.358526
3,left,"[0.25, 0]",left,0.410216
3,right,"[-0.25, 0]",right,0.421974
3,right,"[-0.25, 0]",right,0.483379
3,left,"[-0.25, 0]",right,0.449436
3,right,"[-0.25, 0]",right,0.416566
3,right,"[-0.25, 0]",right,0.482706
3,left,"[-0.25, 0]",left,0.523713
3,right,"[-0.25, 0]",right,0.441065
3,left,"[-0.25, 0]",left,0.445806
3,right,"[0.25, 0]",right,0.317283
3,left,"[0.25, 0]",left,0.462443
3,left,"[-0.25, 0]",left,0.36665
3,left,"[0.25, 0]",left,0.411787
3,left,"[0.25, 0]",left,0.458576
3,left,"[-0.25, 0]",left,0.369215
3,left,"[0.25, 0]",left,0.515966
3,right,"[0.25, 0]",right,0.361294
3,left,"[-0.25, 0]",left,0.383177
3,left,"[0.25, 0]",left,0.44269
3,right,"[-0.25, 0]",right,0.496813
3,left,"[-0.25, 0]",left,0.396606
3,left,"[-0.25, 0]",left,0.292355
3,left,"[-0.25, 0]",left,0.229258
3,right,"[-0.25, 0]",right,0.43309
3,right,"[-0.25, 0]",right,0.502498
3,left,"[-0.25, 0]",left,0.36071
3,left,"[-0.25, 0]",left,0.501989
